ward_number,ward_name,ridge_fraction
171,CHITARANJAN PARK,0.0793
172,CHIRAG DELHI,0.0623
173,GREATER KAILASH,0.1158
174,SRI NIWAS PURI,0.0188
175,KALKAJI,0.1329
176,GOVIND PURI,0.0
177,HARKESH NAGAR,0.0085
178,TUGHLAKABAD,0.3061
179,PUL PEHLADPUR,0.239
180,BADARPUR,0.0
181,MOLARBAND,0.0
182,MEETHAPUR,0.0
183,HARI NAGAR EXTENSION,0.0
184,JAITPUR,0.0
185,MADANPUR KHADAR EAST,0.0
186,MADANPUR KHADAR WEST,0.0
187,SARITA VIHAR,0.0085
188,ABUL FAZAL ENCLAVE,0.0887
189,ZAKIR NAGAR,0.0
190,NEW ASHOK NAGAR,0.0
191,MAYUR VIHAR PHASE-I,0.0
192,TRILOKPURI,0.0
193,KONDLI,0.0
194,GHAROLI,0.0
195,KALYANPURI,0.0
196,MAYUR VIHAR PHASE-II,0.0159
197,PATPAR GANJ,0.0006
198,VINOD NAGAR,0.0
199,MANDAWALI,0.0
200,PANDAV NAGAR,0.1475
201,LALITA PARK,0.1326
202,SHAKARPUR,0.0
203,LAXMI NAGAR,0.002
204,PREET VIHAR,0.0
205,I.P. EXTENSION,0.0
206,ANAND VIHAR,0.0185
207,VISHWAS NAGAR,0.0
208,ANARKALI,0.0
209,JAGAT PURI,0.0
210,GEETA COLONY,0.0
211,KRISHNA NAGAR,0.0
212,GANDHI NAGAR,0.0
213,SHASTRI PARK,0.0622
214,AZAD NAGAR,0.0
215,SHAHDARA,0.0
216,JHILMIL,0.0
217,DILSHAD COLONY,0.0
218,SUNDAR NAGRI,0.0
219,DILSHAD GARDEN,0.0
220,NAND NAGRI,0.0
221,ASHOK NAGAR,0.0
222,RAM NAGAR EAST,0.0
223,ROHTASH NAGAR,0.0
224,WELCOME COLONY,0.0
225,SEELAMPUR,0.0
226,GAUTAM PURI,0.0
227,CHAUHAN BANGER,0.0
228,MAUJPUR,0.0
229,BRAHAM PURI,0.0262
230,BHAJANPURA,0.3693
231,GHONDA,0.0
232,YAMUNA VIHAR,0.0
233,SUBHASH MOHALLA,0.0
234,KABIR NAGAR,0.0
235,GORAKH PARK,0.0
236,KARDAM PURI,0.0
237,HARSH VIHAR,0.0
238,SABOLI,0.0
239,GOKAL PURI,0.0
240,JOHARIPUR,0.0
241,KARAWAL NAGAR-EAST,0.0
242,DAYALPUR,0.0
243,MUSTAFABAD,0.0
244,NEHRU VIHAR,0.0
245,BRIJ PURI,0.0
246,SRI RAM COLONY,0.001
247,SADATPUR,0.0
248,KARAWAL NAGAR-WEST,0.0
249,SONIA VIHAR,0.1765
250,SABAPUR,0.033
